;Xinjiang;Ninxia;Qinghai;Gansu;Shaanxi;Tibet;Yunnan;Guizhou;Sizhou;Cjongqing;Hainan;Guanxi;Guangdong;Hunan;Hubei;Henan;Shandong;Jiangxi;Fujian;Anhui;Zhejiang;Jiangsu;Shanghai;Heilongjiang;Jilin;Liaoning;Inner Mongolia;Shanxi;Hebei;Tianjin;Beijing
12.01.2019 0:00;0,4760532;0,8186184;0,4866804;1,914192;3,7164096;0,1032912;2,4832332;3,3269292;5,3372196;3,7332576;0,9521064;3,0589488;7,4842056;4,5718668;4,3625304;6,8486148;5,5296108;3,3102432;2,2123368;6,2702748;6,4232352;10,864692;6,2175276;1,9052496;1,8956916;2,6699868;2,5709076;2,7241596;11,229192;3,3329232;7,6650624
13.01.2019 0:00;0,474498;0,771444;0,4818204;1,80549;3,4259112;0,1101276;2,3986368;3,1539456;4,9785192;3,4071516;0,8912916;2,8999296;6,8675364;4,3089408;4,0424508;6,3472572;5,0164272;3,1815504;1,944972;5,6403864;5,3700732;9,0254736;5,8191372;1,7213148;1,7018424;2,343978;2,3325084;2,5871724;8,3296512;2,6684964;7,8045444
14.01.2019 0:00;0,493776;0,8204328;0,4967244;1,897182;3,6300636;0,1201392;2,4934716;3,4115256;5,2514568;3,633174;0,9252144;2,985822;7,0274952;4,455486;4,330746;6,4985976;5,3839404;3,255228;2,061126;5,8098708;5,8201092;9,8800884;7,683174;1,885842;1,7889012;2,5699032;2,5645248;2,8462428;8,2282392;3,2669568;11,0134404
15.01.2019 0:00;0,5003532;0,8046864;0,4606308;1,852146;3,5632872;0,1120068;2,514726;3,4553304;5,2536276;3,6859212;0,9470196;3,2299884;6,7208616;4,7193192;4,4622576;6,9948684;5,511564;3,4804404;2,0799828;5,9324076;5,597586;9,2033172;6,069654;1,8482256;1,7273412;2,4296436;2,5345224;2,8430028;7,9588656;2,9362824;8,2183572
16.01.2019 0:00;0,484866;0,8163828;0,5290272;2,0373768;3,635766;0,1133028;2,5847748;3,7571364;5,6608308;3,9114576;0,9827892;3,7212372;6,9290964;5,3448984;4,9666608;7,5010536;5,50719;3,893184;2,1664584;6,1447896;5,5107216;9,0147492;5,7759156;1,9651896;1,780704;2,63007;2,6202852;2,8791612;8,111016;2,876634;7,8952644
17.01.2019 0:00;0,485514;0,8146332;0,5090364;2,1592008;3,7918044;0,1032912;2,754648;4,1229324;6,040656;4,1341752;0,9878112;4,178304;6,5685492;5,588838;5,2898508;7,8447852;5,6206872;4,3442244;2,1916656;6,5117844;5,5833948;9,1715976;6,1183512;1,9909476;1,7967096;2,6778924;2,6105328;2,9201148;8,2386396;2,9273076;8,4018384
18.01.2019 0:00;0,4769928;0,8300556;0,4751784;2,1912768;3,8093328;0,1026756;2,7853308;4,1740272;6,2280576;4,471524;0,9717084;4,298994;6,745356;5,785182;5,4463428;8,0592084;5,6734344;4,61376;2,2646628;6,94089;5,8689684;9,801972;6,2400132;2,0175156;1,8305676;3,0213972;2,6070984;2,9119824;9,1025208;3,1072896;8,1269568
19.01.2019 0:00;0,4841856;0,8505972;0,4802328;2,2231584;3,9325824;0,11016;2,946942;4,4604756;6,8812092;4,8200832;1,00359;4,7115756;7,33131;6,6507804;5,9980824;8,7696108;6,104322;5,187726;2,5187436;7,9058592;6,688332;11,3179356;6,4196064;2,1284208;1,8946872;2,911626;2,671056;3,0685716;11,17638;3,4498224;7,9356672
20.01.2019 0:00;0,47709;0,8011872;0,4656204;2,2081248;3,800034;0,1064988;2,9495016;4,7408652;6,9910128;4,8335616;0,9905328;5,1180984;6,9283188;7,2177156;6,2281224;8,8540452;5,7490236;5,7932496;2,452194;7,9393608;5,6416176;9,4484232;6,1418088;2,0683188;1,9233936;2,6368092;2,6260524;2,9485296;9,0234;2,902878;8,11053
21.01.2019 0:00;0,4709988;0,8225388;0,4715496;2,1464352;4,0317264;0,106272;3,1054104;5,3202744;7,5463164;5,3168076;0,9906948;5,8335876;6,8190012;8,4012552;7,0511472;9,85446;6,025104;6,8024124;2,6876772;8,5978908;5,9034096;10,186074;7,3892088;2,2204044;1,9873188;2,7602532;2,6774064;3,0207816;8,6487912;3,0314736;10,4537304
22.01.2019 0:00;0,466398;0,8302824;0,4786452;2,2674816;4,1505696;0,0995652;3,403944;6,0829704;8,4436344;5,8463208;1,0102644;6,7419216;6,4200924;9,5647392;7,6079088;11,078694;6,154218;8,48151;2,7650484;9,6373476;5,9980176;9,949392;6,2027532;2,277396;1,9597788;2,7491724;2,7344304;3,1442904;8,9287596;2,9311632;8,3364876
23.01.2019 0:00;0,4702212;0,8369568;0,4706748;2,4069312;4,40316;0,1023516;3,507786;6,0942132;8,9491068;5,9148792;1,0607436;7,326288;6,6658788;10,333818;8,3211624;11,9472732;6,6561264;9,2771244;3,0388608;10,9974024;6,1902792;10,5071256;6,38361;2,4054084;2,0826072;2,8738476;2,7711396;3,2248368;9,4338756;3,052242;8,807454
24.01.2019 0:00;0,4697352;0,8624556;0,4797144;2,521368;4,585248;0,1013472;3,6700776;6,9030144;9,7655544;6,8800428;1,1322504;7,810992;6,9909804;11,7430884;9,4705524;13,4514432;7,0093512;10,1075364;3,2036796;12,4885152;6,1462152;11,0597076;6,5075076;2,5628724;2,1680784;3,0019248;2,77344;3,315978;9,6114924;3,1185648;9,0318564
25.01.2019 0:00;0,4415472;0,8638488;0,4785156;2,665548;4,8067992;0,1087668;3,9063708;7,3360404;10,7492832;7,4288664;1,1768328;9,2120652;7,2821916;13,3652268;10,4726844;15,17373;7,6002624;11,8354284;3,5730072;15,071508;6,4990836;11,879136;6,6069432;2,7089316;2,278854;3,1862808;2,8408644;3,5300124;10,7567352;3,2621292;8,493012
26.01.2019 0:00;0,372762;0,914814;0,4847688;2,9322;5,2384968;0,1056564;4,227876;7,7058216;12,3060708;8,1388152;1,2458448;12,6649332;7,860888;16,257186;11,5099056;17,7173892;8,604954;15,2441028;4,2687324;18,6550452;7,4464596;14,1958656;6,630822;2,9370276;2,4870888;3,4342704;2,9670624;3,9523788;13,8561516;3,5992836;8,2345248
27.01.2019 0:00;0,4948452;0,842886;0,4600476;2,9891268;5,2992792;0,111618;4,3407252;7,9605504;12,4501536;7,8586524;1,3186476;14,858964;7,4034972;18,4617144;12,1349988;19,5897528;8,7702264;17,3755368;4,4508528;21,2202504;6,6339648;12,9754224;6,1474788;3,0098304;2,4944112;3,3777;2,8936764;3,9514716;11,898738;3,0752784;8,0546076
28.01.2019 0:00;0,4993164;0,8491392;0,4648752;3,0241512;5,4928044;0,1005372;4,3672284;8,5806216;13,0945248;8,3414124;1,4002632;15,4224972;7,2497268;20,1175812;13,1100444;20,195244;8,9096436;16,6388256;4,691196;21,6608904;6,589998;12,8034432;7,255818;3,053052;2,48184;3,2460264;2,8206792;4,0234644;11,3239296;3,002346;9,7160148
29.01.2019 0:00;0,4730724;0,8184888;0,4273884;2,9502468;5,4570996;0,104976;4,2318288;8,1640548;13,426884;8,6806728;1,38267;13,6959012;6,92955;17,9809308;13,1679432;19,2789396;8,9632008;15,0530076;4,6894464;21,5334288;6,1292376;12,3178968;5,5640844;3,1224852;2,511972;3,2245452;2,861568;3,9852972;11,4039576;2,7213084;7,2672552
30.01.2019 0:00;0,486324;0,8671536;0,4204872;3,0562596;5,3498556;0,1004724;4,0871628;7,302798;13,2071796;8,6659308;1,4422536;12,8554128;7,2365724;16,5138264;12,46995;19,522458;9,4692888;14,0085612;4,7477664;21,580182;6,1738524;12,4286076;5,2108272;3,1379724;2,579202;3,4157376;2,923938;4,1526108;12,08034;2,6375544;6,6908268
31.01.2019 0:00;0,484704;0,8120412;0,4161132;3,002508;5,0848236;0,1099332;4,0049964;6,9549516;12,913344;8,4943728;1,4675256;13,3351596;7,7020632;16,6036716;11,994156;17,9430228;9,5842116;13,5887868;4,926096;21,7512864;6,1996428;12,3463116;4,8215412;3,2837724;2,6712504;3,56724;3,008826;4,2501672;12,9096828;2,5221456;6,5529972
01.02.2019 0:00;0,4985388;0,8535456;0,4279392;3,4693596;5,4980856;0,1077624;4,01355;6,5076696;13,4498232;8,5854492;1,5450588;13,1448096;8,1007128;15,9010776;12,0581136;20,1256488;10,9005912;13,2112296;4,9255128;22,6753668;6,4885212;13,14792;4,5188604;3,4951176;2,958606;3,9032928;3,2532192;4,900176;14,9800752;2,5848396;5,969214
02.02.2019 0:00;0,4739796;0,8121708;0,3962196;3,5429724;5,3329752;0,102384;3,808134;5,6710368;12,8505852;7,8430032;1,5477156;10,7927964;8,3079108;13,6157112;11,1061368;18,9046872;11,0828412;11,2029804;4,4919036;22,09032;6,338736;13,3150068;3,8527164;3,506004;3,019356;4,0321152;3,3492204;4,9138164;15,4587852;2,5051032;5,3755488
03.02.2019 0:00;0,4643892;0,728838;0,3890916;3,276612;4,7204532;0,1033884;3,5971128;4,8567276;11,8675692;7,0033896;1,5636888;7,8168564;8,1877068;10,240182;9,0098892;14,7022128;9,53937;8,8594236;4,1702364;18,2690316;6,0802812;11,9237832;3,639816;3,1896504;2,8824336;3,6794412;2,9512512;4,2360732;14,2087608;2,1818484;4,8103632
04.02.2019 0:00;0,42282;0,6558408;0,376974;2,8679184;4,2681492;0,1020276;3,2877252;3,7959516;10,47006;6,5074428;1,4040864;5,899554;6,792174;7,9570188;7,157808;12,057498;8,1801576;6,6577788;3,762126;14,801292;6,0716628;11,0794392;3,3622128;2,637036;2,431458;3,1413744;2,4066072;3,7407744;11,8287864;1,7865684;4,38372
05.02.2019 0:00;0,3203064;0,5324616;0,3184272;1,8202644;4,1139252;0,0770148;3,6476892;3,3105348;8,42886;6,2323344;1,3164768;4,2681168;5,710662;5,3289576;5,4345492;7,8460164;5,6158596;4,1122404;2,9834568;9,6778476;6,1560324;9,183294;3,965922;1,6339968;1,4990508;1,9028844;1,6339644;2,8380132;6,6135852;1,7033652;4,7272248
06.02.2019 0:00;0,3318408;0,798174;0,4172472;2,1377844;6,140286;0,0821664;5,1696144;5,1300216;11,2689468;8,9833212;1,368738;7,6128336;8,8247232;8,1091692;7,4726712;9,1111392;6,9566364;6,5117844;4,52466;11,55951;9,1145088;13,417164;6,5205;2,2752576;2,3734296;2,8118988;2,9422116;3,7578492;10,32588;3,2243832;7,8309504
07.02.2019 0:00;0,3132432;0,991764;0,4768632;2,3906664;7,1528184;0,0899748;5,635818;6,1099596;12,2030388;10,3597056;1,3847436;8,9006364;12,5404848;9,1143792;8,190234;9,616482;7,6868352;6,99192;5,2794504;11,6098272;10,3260744;15,4036728;7,4600676;2,6837244;2,695518;3,461616;3,4049484;4,54734;9,85041;4,0949388;10,1478744
08.02.2019 0:00;0,5173308;1,1434284;0,532656;2,433888;7,181784;0,1005696;5,3293788;6,550794;11,8833156;11,0662848;1,3911912;7,8753384;17,6960376;9,0647748;8,294562;9,283086;7,6581612;6,4049292;4,947804;10,5681672;10,739304;16,899354;9,447192;2,5752816;2,6300376;3,880224;3,2635872;4,5705384;9,9189684;4,9196484;12,6268308
09.02.2019 0:00;0,6696108;1,251126;0,5823252;2,4701436;7,6731948;0,0930204;5,0368716;7,2896436;11,5729236;12,1149108;1,3928436;7,2246816;26,3741832;9,8195328;9,6058872;9,6730848;7,8706404;6,2963244;5,0327244;10,8644652;11,6265456;17,5315104;12,4943472;2,5070796;2,7176472;4,4013456;3,2332284;4,6439244;9,5763384;5,7622104;15,7712184
10.02.2019 0:00;0,846612;1,2847572;0,6911568;2,4620436;7,9701732;0,0953532;5,3831952;8,6149332;11,460528;12,467844;1,4165604;7,3105092;38,2357584;11,8133964;10,9535652;9,689868;9,381582;6,8575572;5,8406184;12,2439276;15,3051768;21,9374892;17,395074;2,8212624;3,1682988;5,69997;4,4740512;4,7569356;11,3086692;7,9888032;23,261256
11.02.2019 0:00;0,9495144;1,358856;0,7945452;2,5658532;8,2528632;0,1159596;5,0055732;6,7055688;10,2452688;9,8204076;1,4852808;6,02316;45,92052;9,2918016;8,9978688;9,8806068;9,2632248;6,1241832;6,850818;10,3125636;20,0886804;24,7546692;20,3837148;2,6615304;2,7248724;5,5568592;4,0187988;4,6221192;10,4218812;7,9601292;26,1578484
12.02.2019 0:00;0,9266076;1,2503484;0,6747624;2,2737996;6,8927436;0,131058;4,1816088;5,259168;8,3472768;8,8927632;1,4062896;5,398488;47,3752476;7,3021824;7,7543892;8,2863;7,8416424;4,9172508;6,0218964;8,9377992;20,0822328;23,5776096;17,3868768;2,2820616;2,31741;4,181868;3,5354556;3,9851352;9,1324584;5,6775168;18,6532308
13.02.2019 0:00;0,9503244;1,2113064;0,6885972;2,3682456;6,8667264;0,1533816;4,4290152;5,6135268;8,4299616;8,195742;1,4140656;5,390388;50,6074068;8,321292;7,4296116;8,2749276;7,8858684;5,2146504;6,4661652;9,363762;21,4780572;22,5357552;16,2005184;2,203686;2,2514436;4,0761144;3,5894664;3,7932624;9,0284868;5,8003776;18,3789324
14.02.2019 0:00;0,9682092;1,0848816;0,6595992;2,2502124;5,5526796;0,1593432;4,3624332;5,5182384;7,7742828;8,247906;1,3377636;5,1426252;48,1706352;6,8905404;6,8371776;6,6043512;6,639732;4,6575;6,2813232;7,48926;22,5155376;21,162222;14,8264668;2,1071664;2,146662;3,8561184;2,871612;2,591838;8,018838;4,75713;14,4865584
15.02.2019 0:00;1,0369296;1,0178784;0,6594048;2,2113;5,6992572;0,1546128;4,2990588;5,0930532;7,1474724;7,0487496;1,303938;5,0330808;42,4021068;6,811776;6,3312192;6,6027312;6,2836884;4,4214012;5,993514;7,1871948;21,5242272;19,406628;12,6163656;1,890864;1,9142892;3,3124788;2,6037612;2,7133704;8,1823608;4,1372856;12,3593688
16.02.2019 0:00;1,0264968;1,047492;0,6367572;2,3453712;6,1203924;0,15228;3,9940452;4,4926488;6,8219496;6,5726316;1,3119732;4,5892656;39,4775208;6,3986112;6,4972044;7,4925648;7,648506;4,5380412;5,8336524;7,7506308;20,4281676;20,2373316;11,3368572;1,860246;1,878552;3,4111044;3,0735288;3,86208;11,2812588;5,377752;13,3868376
17.02.2019 0:00;1,0671264;0,89667;0,5822604;2,104056;5,6541564;0,1592784;3,6135396;4,3144812;6,2843364;5,534892;1,3269096;4,1148648;37,015218;5,725404;5,8929768;7,202682;7,4090376;4,270158;5,9212944;6,9648336;20,3477832;17,6173056;11,3284008;1,7765244;1,826226;3,3176952;2,931066;3,6924336;9,7824672;5,05683;13,8102732
18.02.2019 0:00;1,0453536;0,7926012;0,5850468;1,9264716;4,8627216;0,1663092;3,2091552;3,6565344;5,9137776;4,8669336;1,3235076;3,610494;27,7948908;4,7427768;4,9003056;6,8053608;7,040034;3,5934516;5,3378676;6,0938568;19,413108;14,5364544;11,9455236;1,7616852;1,82574;3,17196;2,6722224;3,3813936;9,6056928;4,149792;14,4888588
19.02.2019 0:00;1,0315188;0,8446032;0,5686524;1,8104796;4,0924764;0,1673136;2,7944352;3,126762;5,4062964;4,1615856;1,2251088;3,1161996;20,4142032;3,931254;4,0544064;6,0217668;5,9297508;3,0266784;4,2599844;5,3872776;14,7379176;10,7727084;8,0118396;1,5399396;1,5856236;2,718522;2,1799368;2,5551936;8,6567292;3,0340008;9,3034332
20.02.2019 0:00;1,0064736;0,9121896;0,5964192;1,8983808;4,6106172;0,179334;3,08367;3,8887128;5,3936604;5,8228956;1,2832344;3,3008472;22,088376;4,3565688;5,0860872;6,1949448;5,8981608;3,3451056;4,3849188;5,6415204;15,8302512;12,1272876;8,7808212;1,5780096;1,615464;2,794338;2,6224884;2,8306908;8,3302992;3,670434;11,22822
21.02.2019 0:00;1,148904;1,1234052;0,750708;2,4090372;5,8504032;0,2115396;3,959766;4,7820456;5,4544104;4,9219164;1,5164172;4,6855908;34,9435296;5,64489;5,5097172;7,4368044;7,6916304;4,4648496;5,893398;6,1321536;22,2330096;16,1785836;11,1269376;1,9247868;1,945296;3,7860048;3,3738768;3,7316052;9,6682248;4,8641796;14,6217312
22.02.2019 0:00;1,2938616;1,0529676;0,7238808;2,2727628;5,1166404;0,2422548;3,3430968;3,6290592;5,186916;4,9523724;1,5355656;3,800682;29,1464568;4,4837064;4,7837952;6,7860504;7,4953512;3,58101;5,626584;5,5435752;20,9558988;15,2968176;9,7935804;1,8301464;1,8421992;3,44493;3,242106;3,4495956;9,9225;4,9375332;13,9776516
23.02.2019 0:00;1,31301;1,0115604;0,73305;2,4080328;5,64408;0,2476332;3,3611112;3,7324152;5,3457408;5,1411024;1,515024;4,1663484;28,962846;5,1981912;5,0525856;7,19766;7,9593516;3,7970208;5,5375488;6,2328204;20,7996012;16,9598772;9,619074;1,8879156;1,9155528;3,6092628;3,1786992;3,7362384;12,304386;5,8802112;13,760766
24.02.2019 0:00;1,457028;1,0496628;0,811458;2,636226;6,1821468;0,2972376;3,5185104;3,75759;5,6348136;5,079024;1,6037676;4,1687784;26,044578;5,5373544;5,5805436;7,9368984;8,9426916;4,2679872;5,4098928;6,9620472;18,7817616;16,57584;9,6119784;2,1140028;2,1514248;3,8902356;3,477978;4,0680144;11,48823;5,9835024;14,8034304
25.02.2019 0:00;1,0669644;0,8070516;0,66663;1,8102528;4,3259832;0,2419632;2,662632;2,87469;4,6591848;3,619566;1,28223;3,0926772;19,3602636;4,01274;4,0418352;5,8092552;6,6848004;3,1183704;4,065228;5,1094476;15,0841116;13,6350864;9,7616664;1,706184;1,651104;3,0965328;2,6929584;3,030372;8,6214456;4,3601004;13,9467744
